,IIiii,StationName,lat,lon
0,58558,东阳,29.266666666666666,120.21666666666667
1,58559,天台,29.15278,120.97056
2,58560,磐安,29.05,120.43333333333334
3,58564,白石山,29.266666666666666,121.5
4,58566,象山,29.466666666666665,121.88333333333334
5,58567,宁海,29.316666666666666,121.43333333333334
6,58568,三门,29.12278,121.38333
7,58569,石浦,29.2,121.95
8,58652,仙居,28.86722,120.71889
9,58653,括苍山,28.80972,120.9222
10,58655,黄岩站,28.61806,121.09472
11,58656,乐清,28.066666666666666,120.96666666666667
12,58657,青田,28.15,120.28333333333333
13,58658,永嘉,28.15,120.68333333333334
14,58659,温州,28.033333333333335,120.65
15,58660,临海,28.87389,121.19278
16,58661,椒江口,28.6625,121.5108
17,58662,牛山,29.0131,121.7056
18,58663,东矶,28.71889,121.9156
19,58664,温岭,28.37278,121.35889
20,58665,洪家,28.61806,121.41639
21,58666,大陈,28.446,121.90333
22,58667,坎门,28.0775,121.27083
23,58668,披山,28.09583,121.52
24,58669,石塘,28.260317,121.616252
25,58760,洞头,27.833333333333332,121.15
26,58761,鹿西,28.0,121.23333333333333
27,58763,南岳,28.183333333333334,121.1
28,K0100,台州YJ,28.65,121.4
29,K2033,南溪温泉,29.36669921875,121.31670379638672
30,K2190,石浦渔港V,29.216666666666665,121.96666666666667
31,K2724,董家,29.45,121.23333333333333
32,K2811,西店,29.483333333333334,121.43333333333334
33,K2812,峡山,29.483333333333334,121.53333333333333
34,K2813,深圳,29.366666666666667,121.31666666666666
35,K2814,茶山,29.383333333333333,121.6
36,K2815,望海岗,29.35,121.21666666666667
37,K2816,茶院,29.316666666666666,121.53333333333333
38,K2817,黄坛,29.3,121.28333333333333
39,K2818,枇杷山,29.216666666666665,121.5
40,K2819,胡陈,29.333333333333332,121.66666666666667
41,K2820,长街,29.216666666666665,121.75
42,K2821,大佳何,29.416666666666668,121.53333333333333
43,K2822,王爱,29.183333333333334,121.25
44,K2823,前童,29.233333333333334,121.35
45,K2824,蛇蟠涂,29.166666666666668,121.5
46,K2825,明港,29.2,121.65
47,K2826,桑州,29.133333333333333,121.31666666666666
48,K2827,雷虎岩,29.45,121.33333333333333
49,K2828,梅林,29.383333333333333,121.43333333333334
50,K2829,大壳岛,29.15,121.68333333333334
51,K2830,兰田庵,29.216666666666665,121.2
52,K2831,鸡垄山,29.266666666666666,121.56666666666666
53,K2832,白石山,29.266666666666666,121.5
54,K2834,洞门,29.25,121.63333333333334
55,K2835,杨染,29.266666666666666,121.23333333333333
56,K2836,东岙,29.183333333333334,121.43333333333334
57,K2837,车岙港,29.266666666666666,121.71666666666667
58,K2838,夏樟,29.466666666666665,121.31666666666666
59,K2839,南岭,29.15,121.31666666666666
60,K2840,宁东,29.266666666666666,121.6
61,K2841,柘浦街,29.333333333333332,121.58333333333333
62,K2842,史家,29.366666666666667,121.5
63,K2843,双溪,29.266666666666666,121.43333333333334
64,K2844,骆家坑,29.433333333333334,121.51666666666667
65,K2845,团联,29.416666666666668,121.58333333333333
66,K2846,下洋陈,29.2,121.38333333333334
67,K2847,山上方,29.216666666666665,121.43333333333334
68,K2848,岭口,29.483333333333334,121.36666666666666
69,K2849,张韩,29.366666666666667,121.68333333333334
70,K2850,联胜,29.3,121.68333333333334
71,K2851,欢乐佳田,29.233333333333334,121.68333333333334
72,K2852,下洋涂,29.183333333333334,121.71666666666667
73,K2853,洋溪,29.3,121.36666666666666
74,K2854,山洋,29.233333333333334,121.25
75,K2855,山上应,29.266666666666666,121.51666666666667
76,K2856,双盘涂,29.216666666666665,121.53333333333333
77,K2857,岔路,29.216666666666665,121.31666666666666
78,K2858,杜鹃步道,29.3,121.46666666666667
79,K2859,仇家,29.366666666666667,121.4
80,K2860,百鸟岩,29.266666666666666,121.28333333333333
81,K2861,里山,29.133333333333333,121.28333333333333
82,K2862,力洋,29.3,121.65
83,K2863,长田头,29.13,121.26
84,K2864,前岙,29.18,121.52
85,K2880,深甽,29.366666666666667,121.31666666666666
86,K2881,夏樟,29.466666666666665,121.31666666666666
87,K2882,茶山,29.383333333333333,121.61666666666666
88,K2883,联胜,29.3,121.68333333333334
89,K2884,仇家,29.366666666666667,121.4
90,K2885,百鸟岩,29.266666666666666,121.28333333333333
91,K2886,桑州,29.133333333333333,121.31666666666666
92,K2887,望海岗,29.35,121.21666666666667
93,K2888,杨染,29.266666666666666,121.23333333333333
