,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
30,K8051,干江BD,PTURFV,255.0.0.0,2809,12122,121.3717,28.16639,01460,01450,64,False,浙江,台州,玉环市,干江镇,,玉环市,玉环市干江镇白马岙村小山头(丘陵),区域站,中尺度,-         ,0.0,,,
31,K8052,花岩浦BD,PTURFV,255.0.0.0,2812,12119,121.3089,28.19611,00490,00480,64,False,浙江,台州,玉环市,龙溪乡,,玉环市,玉环市龙溪乡花岩浦村(丘陵),区域站,中尺度,-         ,0.0,,,
32,K8053,大圆头BD,PTURF,255.0.0.0,2815,12125,121.4161,28.24195,01410,01400,64,False,浙江,台州,玉环市,沙门镇,,玉环市,玉环市沙门镇南山村大圆头山顶(141),区域站,中尺度,-         ,,,,
33,K8054,大岩头BD,PTURF,255.0.0.0,2803,12110,121.1631,28.04667,02370,02360,64,False,浙江,台州,玉环市,大麦屿街道,,玉环市,玉环市大麦屿街道龙湾村大岩头山上(237),区域站,中尺度,-         ,,,,
34,K8055,中鹿岛BD,PTURF,255.0.0.0,2803,12125,121.4106,28.05694,00910,00900,64,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市鸡山乡中鹿岛(91),区域站,中尺度,-         ,,,,
35,K8056,披山BD,PTURFV,255.0.0.0,2805,12131,121.52,28.10583,1220,1210,64,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市披山岛(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,海岛航线,F
36,K8057,江岩BD,PTURF,255.0.0.0,2810,12109,121.1492,28.17333,01370,01360,32,False,浙江,台州,玉环市,玉城街道,,玉环市,玉环市玉城街道江岩村北塘岗头(岛屿),区域站,中尺度,-         ,,,,
37,K8060,白沙BD,PTURFV,255.0.0.0,2843,12138,121.6383,28.71305,00380,00370,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇白沙村(岛屿),区域站,中尺度,-         ,0.0,,,
38,K8061,南岙村BD,PTURF,255.0.0.0,2851,12120,121.3322,28.84805,00610,00600,64,False,浙江,台州,临海市,邵家渡街道,,临海市,临海市邵家渡街道南岙村(丘陵),区域站,中尺度,-         ,,,NTS,
39,K8062,安基山BD,PTURF,255.0.0.0,2900,12058,120.9667,29.0,08050,08040,64,False,浙江,台州,临海市,白水洋镇,,临海市,临海市白水洋镇安基山(山地),区域站,中尺度,-         ,,,"山区,YA",
40,K8063,北泽岛BD,PTURF,255.0.0.0,2854,12145,121.75,28.9,700,690,64,False,浙江,台州,临海市,桃渚镇,,临海市,临海市北泽岛(岛屿),区域站,中尺度,-         ,0.0,SHARED_VER,海岛,
41,K8064,雀儿岙BD,PTURFV,255.0.0.0,2849,12151,121.8478,28.81,00710,00700,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇雀儿岙(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,
42,K8065,头门BD,PTURFV,255.0.0.0,2841,12146,121.7589,28.69028,00500,00490,64,False,浙江,台州,临海市,上盘镇,,临海市,临海市上盘镇头门港区(岛屿),区域站,中尺度,-         ,1.0,,海岛码头航线,
43,K8066,括苍山BD,TPUFR,255.0.0.0,2849,12056,120.93333,28.80972,13830,13820,64,False,浙江,台州,临海市,括苍镇,,临海市,临海市括苍山米筛廊山顶(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,YA",
44,K8070,天柱BD,PTURF,255.0.0.0,2857,12049,120.8167,28.94,09250,09240,64,False,浙江,台州,天台县,龙溪乡,,天台县,天台县龙溪乡天柱林场(山地),区域站,中尺度,-         ,,,"山区,SF",
45,K8071,柱峰BD,PTURF,255.0.0.0,2901,12046,120.76972,29.023067,04460,04450,64,False,浙江,台州,天台县,龙溪乡,,天台县,天台县龙溪乡柱峰(山地),区域站,中尺度,-         ,,,SF,
46,K8072,苍山顶BD,PTURF,255.0.0.0,2909,12109,121.1528,29.15139,09190,09180,64,False,浙江,台州,天台县,坦头镇,,天台县,天台县坦头镇苍山顶林场(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,SF",
47,K8078,岭脚村BD,PTURF,255.0.0.0,2822,12117,121.2825,28.36194,00470,00460,64,False,浙江,台州,温岭市,温峤镇,,温岭市,温岭市温峤镇岭脚村(丘陵),区域站,中尺度,-         ,0.0,,山区,RF
48,K8079,九洞门BD,PTURF,255.0.0.0,2825,12140,121.6617,28.4125,00560,00550,64,False,浙江,台州,温岭市,松门镇,,温岭市,温岭市松门镇横门村九洞门(海岛),区域站,中尺度,-         ,1.0,SHARED_VER,海岛航线,
49,K8080,三角塘BD,PTURFV,255.0.0.0,2856,12143,121.7144,28.93806,00260,00250,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇沿江村山娘湾(岛屿),区域站,中尺度,-         ,0.0,,,
50,K8083,林场BD,PTURF,255.0.0.0,2903,12125,121.4242,29.04917,06280,06270,64,False,浙江,台州,三门县,海游街道,,三门县,三门县海游街道三门林场(山地),区域站,中尺度,-         ,,,,
51,K8084,扩塘山BD,PTURF,255.0.0.0,2853,12140,121.6617,28.89111,00440,00430,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇扩塘山(岛屿),区域站,中尺度,-         ,,,航线,
52,K8085,三门岛BD,PTURFV,255.0.0.0,2858,12148,121.7919,28.96472,00460,00450,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇三门岛龙塘山(岛屿),区域站,中尺度,-         ,,,,
53,K8086,五子岛BD,PTURFV,255.0.0.0,2900,12146,121.7608,29.00556,00410,00400,64,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇五子岛青士豆屿(岛屿),区域站,中尺度,-         ,,,,
54,K8087,五峙山BD,PTURFV,255.0.0.0,2855,12143,121.7244,28.91111,00150,00140,32,False,浙江,台州,三门县,浦坝港镇,,三门县,三门县浦坝港镇五峙山(岛屿),区域站,中尺度,-         ,,,,
55,K8090,安岭BD,TURF,255.0.0.0,2834,12020,120.3333,28.56083,04890,04880,64,False,浙江,台州,仙居县,安岭乡,,仙居县,仙居县安岭乡新官村(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,YA",
56,K8091,朱溪BD,PTURF,255.0.0.0,2843,12048,120.7936,28.71806,01040,01030,64,False,浙江,台州,仙居县,朱溪镇,,仙居县,仙居县朱溪镇大洪村(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,YA",RF
57,K8092,朱坑里BD,PTURF,255.0.0.0,2836,12039,120.6542,28.60417,04210,04200,64,False,浙江,台州,仙居县,淡竹乡,,仙居县,仙居县淡竹乡朱坑里村(丘陵),区域站,中尺度,-         ,,,YA,R
58,K8093,青尖山BD,PTURF,255.0.0.0,2855,12044,120.7275,28.91639,08250,08240,64,False,浙江,台州,仙居县,福应街道,,仙居县,仙居县福应街道青尖山顶(山地),区域站,中尺度,-         ,,,YA,
59,K8094,公盂BD,PTURF,255.0.0.0,2838,12039,120.6425,28.63917,06510,06500,64,False,浙江,台州,仙居县,田市镇,,仙居县,仙居县田市镇公盂村(山地),区域站,中尺度,-         ,,,YA,
60,K8095,天顶茶场BD,TURF,255.0.0.0,2838,12048,120.8078,28.62583,08710,08700,64,False,浙江,台州,仙居县,上张乡,,仙居县,仙居县上张乡杨树坪村(山地),区域站,中尺度,-         ,,,YA,
61,K8101,东方红,PTURF,255.0.0.0,2841,12127,121.4467,28.67805,00220,00210,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区海门街道东方红村,区域站,中尺度,-         ,0.0,SHARED_VER,沿海,RF
62,K8102,椒江口,PTURFV,255.0.0.0,2839,12131,121.5167,28.65,130,130,64,False,浙江,台州,椒江区,海门街道,,椒江区,海门街道,区域站,中尺度,-         ,1.0,SHARED_VER,"沿海,高速",
63,K8103,涛江闸,PTURF,255.0.0.0,2842,12129,121.4897,28.69667,00140,00130,16,False,浙江,台州,椒江区,前所街道,,椒江区,椒江区沿江村涛江闸楼顶(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海,RF
64,K8104,马峙,PTURF,255.0.0.0,2845,12124,121.4047,28.75389,00220,00210,16,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安惠民小学楼顶(平原),区域站,中尺度,-         ,0.0,SHARED_VER,高速,RF
65,K8105,农场,PTRF,255.0.0.0,2837,12131,121.5167,28.6167,130,130,64,False,浙江,台州,椒江区,,,椒江区,椒江农场-九塘,区域站,中尺度,-         ,0.0,SHARED_VER,沿海,
66,K8106,大桥,PTURFV,255.0.0.0,2842,12124,121.3967,28.70806,60,60,12,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安街道建设村大桥收费站院内(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线,R
67,K8107,下陈,PTURF,255.0.0.0,2836,12128,121.4592,28.59306,00050,00040,16,False,浙江,台州,椒江区,下陈街道,,椒江区,椒江区下陈街道杨家村春锦苑渔庄(平原),区域站,中尺度,-         ,1.0,SHARED_VER,,RF
68,K8108,柏树里,PTURF,255.0.0.0,2844,12127,121.4508,28.73028,00070,00060,16,False,浙江,台州,椒江区,章安街道,,椒江区,椒江区章安街道惠民村(平原),区域站,中尺度,-         ,0.0,SHARED_VER,水稻,RF
69,K8109,新佳果,PTURF,255.0.0.0,2837,12131,121.5092,28.61944,00040,00030,16,False,浙江,台州,椒江区,三甲街道,,椒江区,椒江区三甲街道新佳果(平原),区域站,中尺度,-         ,1.0,SHARED_VER,沿海、柑橘、高速TZW,R
70,K8110,上大陈,TRF,255.0.0.0,2830,12154,121.9056,28.49639,00560,00550,12,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇上大陈岛(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,RFH
71,K8111,二桥,PTURFDV,255.0.0.0,2842,12128,121.4744,28.69444,00310,00300,16,False,浙江,台州,椒江区,前所街道,,椒江区,椒江区前所街道椒江二桥北岸(平原),区域站,中尺度,-         ,1.0,,沿海航线,
72,K8112,岳头村,PTURF,255.0.0.0,2840,12127,121.4556,28.66417,00060,00050,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区医化企业管委会大院(平原),区域站,中尺度,-         ,,,,R
73,K8113,污水厂,PTURF,255.0.0.0,2839,12131,121.5019,28.64,00040,00030,16,False,浙江,台州,椒江区,海门街道,,椒江区,椒江区污水处理公司-澳门街道岩头村(平原),区域站,中尺度,-         ,,,高速TZW,RF
74,K8114,雷达站,PTURFEV,255.0.0.0,2837,12131,121.522441,28.61722,00040,00030,12,False,浙江,台州,椒江区,三甲街道,,椒江区,台州气象雷达站(平原),区域站,中尺度,-         ,1.0,,"航线,高速,GS TZW",
75,K8115,挡港桥,PTURF,255.0.0.0,2835,12124,121.3997,28.59028,00120,00110,16,False,浙江,台州,椒江区,洪家街道,,椒江区,椒江区洪家街道挡港桥村(平原),区域站,中尺度,-         ,1.0,,,R
76,K8116,一江山,PTURFV,255.0.0.0,2837,12149,121.8156,28.60861,00510,00500,8,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区一江山岛上(岛屿),区域站,中尺度,-         ,1.0,,海岛航线,
77,K8117,大陈码头,V,255.0.0.0,2827,12154,121.8894,28.45333,00210,00200,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇大陈码头(岛屿),区域站,中尺度,-         ,1.0,,海岛,
78,K8118,乌石,PTURF,255.0.0.0,2841,12123,121.375,28.68333,00060,00050,16,False,浙江,台州,椒江区,葭沚街道,高坎村,椒江区,椒江区葭沚街道高坎村(平原),区域站,中尺度,-         ,0.0,,,
79,K8120,台州湾大桥,TUFD,255.0.0.0,2841,12131,121.5119,28.67805,00210,00200,16,False,浙江,台州,椒江区,海门街道,,椒江区,沿海高速台州湾大桥(海洋),区域站,中尺度,-         ,,,"高速,GS",
80,K8121,柑橘良种场,TRF,255.0.0.0,2844,12122,121.3692,28.73611,01510,01500,16,False,浙江,台州,椒江区,章安街道,山横村,椒江区,椒江区章安街道山横村柑橘良种场(丘陵),区域站,中尺度,-         ,,,,
81,K8122,烟草中心,TRF,255.0.0.0,2835,12132,121.5361,28.59,00040,00030,16,False,浙江,台州,椒江区,三甲街道,,椒江区,台州市集聚区烟草配送中心(平原),区域站,中尺度,-         ,,,TZW,
82,K8123,虾捕,TRF,255.0.0.0,2830,12153,121.8901,28.50553,01610,01600,16,False,浙江,台州,椒江区,大陈镇,,椒江区,台州市椒江区大陈镇上大陈南岙村虾捕(岛屿),区域站,中尺度,-         ,,,,
83,K8124,洪家二中,PTRF,255.0.0.0,2837,12125,121.4144,28.60372,00060,00050,16,False,浙江,台州,椒江区,i洪家街道,,椒江区,台州市椒江区洪家二中(平原),区域站,中尺度,-         ,,,,
84,K8125,上大陈码头,V,255.0.0.0,2829,12152,121.8731,28.47861,310,00300,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇上大陈码头(岛屿),区域站,中尺度,-         ,1.0,,海岛,
85,K8126,一江码头,V,255.0.0.0,2836,12149,121.81045,28.58675,300,00300,16,False,浙江,台州,椒江区,大陈镇,,椒江区,椒江区大陈镇一江山岛展览馆后面(岛屿),区域站,中尺度,-         ,1.0,,海岛,
86,K8127,江北药业,TRF,255.0.0.0,2842,12122,121.3672,28.70611,00060,00050,16,False,浙江,台州,椒江区,章安街道,,,椒江区章安街道东埭村东埭码头(平原),区域站,中尺度,-         ,,,,
87,K8128,李宅村,TRF,255.0.0.0,2846,12124,121.3928,28.76,00460,00450,16,False,浙江,台州,椒江区,章安街道,,,椒江区章安街道李宅村(丘陵),区域站,中尺度,-         ,,,,
88,K8191,新民小学,TURF,255.0.0.0,2842,12126,121.4325,28.70583,60,60,32,False,浙江,台州,椒江区,前所街道,,椒江区,前所街道新民小学(平原),区域站,中尺度,-         ,0.0,,,
89,K8201,黄岩局,PTURFVNMO,255.0.0.0,2839,12117,121.28,28.6525,00460,450,5,False,浙江,台州,黄岩区,东城街道,,黄岩区,台州市科技学院-王西村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,"高速铁路,YN",RF
90,K8202,宁溪,PTURF,255.0.0.0,2835,12057,120.9753,28.59167,1500,1500,16,False,浙江,台州,黄岩区,宁溪镇,,黄岩区,黄岩区宁溪镇桥亭居(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,CT",
91,K8203,沙埠,TRF,255.0.0.0,2833,12110,121.1744,28.54806,450,450,16,False,浙江,台州,黄岩区,沙埠镇,,黄岩区,黄岩区沙埠镇横溪村佛岭水库,区域站,中尺度,-         ,0.0,SHARED_VER,"高速,YN",
92,K8204,长潭,TRF,255.0.0.0,2836,12103,121.0614,28.61028,280,280,16,False,浙江,台州,黄岩区,北洋镇,,黄岩区,黄岩区北洋镇长潭村长潭水库管理局,区域站,中尺度,-         ,0.0,SHARED_VER,"山区,YN,CT",
93,K8205,头陀,PTURFV,255.0.0.0,2840,12107,121.1369,28.67417,200,200,8,False,浙江,台州,黄岩区,头陀镇,,黄岩区,黄岩区头陀镇溪东村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,"茭白,YN",R
94,K8206,富山,PTURF,255.0.0.0,2832,12055,120.9131,28.53583,07110,07100,12,False,浙江,台州,黄岩区,富山乡,,黄岩区,黄岩区富山乡安山村马鞍山(山地),区域站,中尺度,-         ,1.0,SHARED_VER,"高山,CT",R
95,K8207,白石,TRF,255.0.0.0,2841,12056,120.9375,28.67444,7600,7600,8,False,浙江,台州,黄岩区,屿头乡,,黄岩区,黄岩区屿头乡白石村(山地),区域站,中尺度,-         ,0.0,SHARED_VER,"高山,CT",R
96,K8208,屿头,PTURF,255.0.0.0,2839,12100,121.01093,28.65211,1600,1600,12,False,浙江,台州,黄岩区,屿头乡,,黄岩区,黄岩区屿头乡上凤村(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"山区,CT",RF
97,K8209,上郑,TRF,255.0.0.0,2836,12052,120.8744,28.60583,02570,02560,16,False,浙江,台州,黄岩区,上郑乡,,黄岩区,黄岩区上郑乡下余村(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,CT",RF
98,K8210,上垟,PTURFV,255.0.0.0,2831,12101,121.008268,28.515366,800,800,16,False,浙江,台州,黄岩区,上垟乡,,黄岩区,黄岩区上垟乡上垟村(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,CT",RF
99,K8212,江口,PTURF,255.0.0.0,2841,12119,121.3275,28.6903,70,70,16,False,浙江,台州,黄岩区,江口街道,,黄岩区,黄岩区江口街道上辇村永宁江闸(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"东槐杨梅铁路,YN",
100,K8213,院桥,PTURF,255.0.0.0,2833,12116,121.2781,28.54972,110,110,16,False,浙江,台州,黄岩区,院桥镇,,黄岩区,黄岩区院桥镇鸡笼山村鸡山(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"西红柿高速,YN",R
101,K8214,高桥,PTURF,255.0.0.0,2835,12114,121.2314,28.58444,460,460,12,False,浙江,台州,黄岩区,高桥街道,,黄岩区,黄岩区高桥街道八份村小山坡(丘陵),区域站,中尺度,-         ,1.0,SHARED_VER,"高速,YN",RF
102,K8215,新前,TRF,255.0.0.0,2841,12112,121.2067,28.68139,00140,00130,16,False,浙江,台州,黄岩区,新前街道,,黄岩区,黄岩区新前街道屿下村(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"茭白高速,YN",R
103,K8216,茅畲,TRF,255.0.0.0,2834,12106,121.1314,28.595,300,290,12,False,浙江,台州,黄岩区,茅畲乡,,黄岩区,黄岩区茅畲乡大礼村(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,"山区,YN",
104,K8217,澄江,PTURFV,255.0.0.0,2838,12110,121.1736,28.63222,130,120,4,False,浙江,台州,黄岩区,澄江街道,,黄岩区,黄岩区澄江街道凤洋村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,"柑橘高速,YN",RF
105,K8218,科技学院,TRF,255.0.0.0,2840,12115,121.2539,28.66945,00070,00060,16,False,浙江,台州,黄岩区,北城街道,,黄岩区,黄岩区北城街道科技学院-王西村(平原),区域站,中尺度,-         ,1.0,SHARED_VER,YN,RF
106,K8219,铅锌矿,TR,255.0.0.0,2836,12055,120.92483,28.5981,02430,02420,16,False,浙江,台州,黄岩区,上郑乡,,黄岩区,黄岩区上郑乡蒋东岙村(丘陵),区域站,中尺度,-         ,,,"山区,CT",
107,K8220,北洋,TRF,255.0.0.0,2837,12106,121.0978,28.63056,00260,00250,16,False,浙江,台州,黄岩区,北洋镇,,黄岩区,黄岩区北洋镇前蒋村(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"平原,YN",
108,K8221,平田,PTURF,255.0.0.0,2832,12104,121.0739,28.53806,03940,03930,12,False,浙江,台州,黄岩区,平田乡,,黄岩区,黄岩区平田乡天灯洋村(山地),区域站,中尺度,-         ,1.0,,CT,
109,K8222,大寺基,TRF,255.0.0.0,2835,12048,120.7997,28.58417,11440,11430,12,False,浙江,台州,黄岩区,上郑乡,,黄岩区,黄岩区上郑乡大寺基(山地),区域站,中尺度,-         ,0.0,,"高山,CT",R
110,K8225,牌门,TRF,255.0.0.0,2832,12057,120.9522,28.53722,01220,01210,16,False,浙江,台州,黄岩区,宁溪镇,,黄岩区,黄岩区宁溪镇牌门(山地),区域站,中尺度,-         ,0.0,,"山区,CT",
111,K8226,委羽山,PTURFV,255.0.0.0,2837,12114,121.2397,28.62472,00200,00190,16,False,浙江,台州,黄岩区,西城街道,,黄岩区,黄岩区西城街道G15高速沈海高速旁(平原),区域站,中尺度,-         ,1.0,,"山区,YN,GS",
112,K8227,十里铺,TRF,255.0.0.0,2837,12116,121.2672,28.6125,00210,00200,16,False,浙江,台州,黄岩区,南城街道,,黄岩区,黄岩区南城街道十里铺村乌龟山(平原),区域站,中尺度,-         ,,,YN,
113,K8228,江心屿,PTURF,255.0.0.0,2842,12120,121.3256,28.70555,00110,00100,12,False,浙江,台州,黄岩区,江口街道,,黄岩区,黄岩区江口街道上辇村江心屿公园(平原),区域站,中尺度,-         ,0.0,SHARED_VER,"东槐杨梅铁路,YN",R
