,Unnamed: 0,IIiii,StationName,ItemList,IP,NNnn,EEEee,lon,lat,Height,H_Gnd,ZoomLevel,Selected,Province,City,County,Town,Village,Country,Address0,Type,Note,Address,TZAir,ShareF,Property,Index0
25,25,K8046,石塘BD,PTURFV,255.0.0.0,2816,12137,121.6244,28.26583,750,750,64,False,浙江,台州,温岭市,石塘镇,,温岭市,温岭市石塘镇小山头(岛屿),区域站,中尺度,-         ,1.0,SHARED_VER,沿海航线,
26,26,K8047,黄茅山BD,PTURF,255.0.0.0,2832,12118,121.3078,28.52972,2110,2100,64,False,浙江,台州,温岭市,泽国镇,,温岭市,温岭市泽国镇黄茅山村山顶(丘陵),区域站,中尺度,-         ,0.0,SHARED_VER,,RF
27,27,K8048,伍佰屿BD,PTURF,255.0.0.0,2829,12137,121.6092,28.47694,60,50,64,False,浙江,台州,温岭市,滨海镇,,温岭市,温岭市滨海镇伍佰屿(岛屿),区域站,中尺度,-         ,,,,
28,28,K8049,北港BD,PTURF,255.0.0.0,2826,12139,121.6581,28.43167,670,660,64,False,浙江,台州,温岭市,松门镇,,温岭市,温岭市松门镇龙门北港(岛屿),区域站,中尺度,-         ,,,,
29,29,K8050,鸡山BD,PTURFV,255.0.0.0,2806,12122,121.3722,28.1,600,590,64,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市鸡山乡南山村(岛屿),区域站,中尺度,-         ,0.0,,,
30,30,K8051,干江BD,PTURFV,255.0.0.0,2809,12122,121.3717,28.16639,1460,1450,64,False,浙江,台州,玉环市,干江镇,,玉环市,玉环市干江镇白马岙村小山头(丘陵),区域站,中尺度,-         ,0.0,,,
31,31,K8052,花岩浦BD,PTURFV,255.0.0.0,2812,12119,121.3089,28.19611,490,480,64,False,浙江,台州,玉环市,龙溪乡,,玉环市,玉环市龙溪乡花岩浦村(丘陵),区域站,中尺度,-         ,0.0,,,
32,32,K8053,大圆头BD,PTURF,255.0.0.0,2815,12125,121.4161,28.24195,1410,1400,64,False,浙江,台州,玉环市,沙门镇,,玉环市,玉环市沙门镇南山村大圆头山顶(141),区域站,中尺度,-         ,,,,
33,33,K8054,大岩头BD,PTURF,255.0.0.0,2803,12110,121.1631,28.04667,2370,2360,64,False,浙江,台州,玉环市,大麦屿街道,,玉环市,玉环市大麦屿街道龙湾村大岩头山上(237),区域站,中尺度,-         ,,,,
34,34,K8055,中鹿岛BD,PTURF,255.0.0.0,2803,12125,121.4106,28.05694,910,900,64,False,浙江,台州,玉环市,鸡山乡,,玉环市,玉环市鸡山乡中鹿岛(91),区域站,中尺度,-         ,,,,
