,IIiii,tTime,P02,P08,P14,P20,Pa,Px,Pn,P002,P008,P014,P020,P0a,T02,T08,T14,T20,Ta,Tx,Tn,Tw02,Tw08,Tw14,Tw20,E02,E08,E14,E20,Ea,U02,U08,U14,U20,Ua,Un,N02,N08,N14,N20,Na,Nl02,Nl08,Nl14,Nl20,Nla,C02,C08,C14,C20,V02,V08,V14,V20,R20_08,R08_20,R20_20,WW,Ls,Lb,Zd,Zp,dF02,fF02,dF08,fF08,dF14,fF14,dF20,fF20,Fa,dFx,fFx,dFy,fFy,S,D0002,D0008,D0014,D0020,D00a,D00x,D00n,D0502,D0508,D0514,D0520,D05a,D1002,D1008,D1014,D1020,D10a,D1502,D1508,D1514,D1520,D15a,D2002,D2008,D2014,D2020,D20a,Tn_Tmr,R08_Tmr
10,58643,2022-02-10,10060,10075,10039,10042,10054,10080,10032,10252,10267,10230,10233,10245,44,46,92,70,63,93,43,-9999,-9999,-9999,-9999,82,83,74,75,79,98,98,64,75,84,63,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,9,23,300,260,2,-1,2,"(50,42;278,10,)50 0800 0847,10,.",9,9,-1,-1,W,10,NE,16,NNW,16,ENE,20,16,ENE,41,ENE,63,2,52,58,151,69,83,158,50,59,60,119,81,80,67,65,94,88,79,72,70,81,88,78,75,73,77,86,78,46,116
11,58652,2022-02-10,10137,10154,10121,10131,10136,10161,10120,10242,10259,10226,10236,10241,62,66,97,76,75,102,60,-9999,-9999,-9999,-9999,90,93,82,75,85,95,95,68,72,83,64,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,84,102,300,272,6,-1,6,"(50,10,).",7,7,-1,-1,C,0,C,0,N,19,ENE,9,7,ENE,28,ENE,41,0,70,78,139,78,91,142,64,76,74,119,90,90,82,78,106,99,91,87,84,98,101,93,91,89,94,101,94,49,133
12,58657,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-1,,0,0,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
13,58662,2022-02-10,10171,10191,10168,10186,10179,10198,10167,10247,10267,10244,10262,10255,62,64,94,66,72,96,58,-9999,-9999,-9999,-9999,89,76,65,59,72,94,79,55,61,72,48,0,0,0,0,0,0,0,0,0,0,,,,,174,200,181,111,-1,-1,-1,,-9999,-9999,-1,-1,NNW,86,NNW,78,NNE,45,NNW,56,66,NNW,101,NNW,122,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,58448,2022-02-10,10107,10121,10095,10096,10105,10126,10090,10257,10271,10244,10246,10254,23,24,58,46,38,61,21,-9999,-9999,-9999,-9999,72,73,73,75,73,100,100,79,88,92,76,0,0,0,0,0,0,0,0,0,0,,,,,3,8,178,53,0,-1,0,"(10,50,42;321,)10,.",5,5,-1,-1,SSW,13,S,9,E,27,NE,29,20,ENE,39,ENE,60,0,-7,16,86,30,31,-9999,-9999,7,8,64,47,32,13,15,46,48,30,17,19,33,44,28,16,18,23,34,23,-9999,-9999
15,58557,2022-02-10,10137,10153,10121,10125,10134,10159,10117,10252,10268,10235,10239,10248,40,43,75,60,54,84,39,-9999,-9999,-9999,-9999,79,80,74,74,77,97,96,71,79,86,68,0,0,0,0,0,0,0,0,0,0,,,,,42,46,200,137,1,1,2,"(50,10,)10,60 0954   1015'1031,.",0,0,-1,-1,WSW,7,NNW,9,N,18,N,22,14,N,37,N,59,3,42,51,107,54,64,-9999,-9999,47,47,103,63,65,54,52,90,73,67,58,56,76,74,66,62,61,69,74,66,-9999,-9999
16,58565,2022-02-10,10193,10213,10189,10199,10198,10217,10185,10246,10267,10242,10253,10252,52,51,65,42,52,75,42,-9999,-9999,-9999,-9999,86,79,75,73,78,97,90,78,88,88,70,0,0,0,0,0,0,0,0,0,0,,,,,24,96,96,37,2,-1,2,"(50,10,)10,.",7,7,-1,-1,C,0,NNW,12,NNE,30,SW,21,16,NNE,51,NNE,72,0,59,57,90,33,60,-9999,-9999,64,59,91,53,67,69,64,89,69,73,74,69,84,77,76,77,73,80,80,78,-9999,-9999
17,58566,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-1,,-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
18,58633,2022-02-10,10148,10159,10125,10121,10138,10163,10111,10253,10264,10229,10225,10243,51,52,86,71,65,91,49,-9999,-9999,-9999,-9999,83,84,79,79,81,94,95,71,78,84,67,0,0,0,0,0,0,0,0,0,0,,,,,83,52,199,199,0,0,0,"(10,)10,50 0848 0929,60 1848'1925   2000,.",10,10,-1,-1,SW,19,E,7,ENE,45,NE,55,32,NNE,54,NE,84,0,51,57,120,62,72,-9999,-9999,57,58,104,71,72,63,60,88,77,72,66,64,79,80,72,69,67,74,80,72,-9999,-9999
19,58660,2022-02-10,10228,10244,10216,10234,10231,10253,10213,10237,10253,10225,10243,10240,67,73,104,76,80,113,65,-9999,-9999,-9999,-9999,87,75,76,72,78,89,73,60,69,73,55,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,199,200,200,153,-1,-1,-1,"(10,50,).",14,14,-1,-1,NNW,19,NNE,38,NNW,15,ENE,36,27,ENE,46,ENE,70,19,66,76,125,66,83,218,57,74,69,118,82,86,79,73,109,90,88,83,78,100,95,89,85,82,92,96,89,53,71
