,IIiii,tTime,P02,P08,P14,P20,Pa,Px,Pn,P002,P008,P014,P020,P0a,T02,T08,T14,T20,Ta,Tx,Tn,Tw02,Tw08,Tw14,Tw20,E02,E08,E14,E20,Ea,U02,U08,U14,U20,Ua,Un,N02,N08,N14,N20,Na,Nl02,Nl08,Nl14,Nl20,Nla,C02,C08,C14,C20,V02,V08,V14,V20,R20_08,R08_20,R20_20,WW,Ls,Lb,Zd,Zp,dF02,fF02,dF08,fF08,dF14,fF14,dF20,fF20,Fa,dFx,fFx,dFy,fFy,S,D0002,D0008,D0014,D0020,D00a,D00x,D00n,D0502,D0508,D0514,D0520,D05a,D1002,D1008,D1014,D1020,D10a,D1502,D1508,D1514,D1520,D15a,D2002,D2008,D2014,D2020,D20a,Tn_Tmr,R08_Tmr
126,K8104,2022-02-10,10215,10234,10208,10228,10221,10243,10206,10242,10262,10235,10255,10248,68,72,95,72,77,103,66,-9999,-9999,-9999,-9999,87,80,77,73,79,88,79,65,72,76,61,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,N,11,NNW,18,NNW,23,N,24,19,NNW,34,NNW,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
127,K8208,2022-02-10,10040,10056,10029,10045,10042,10064,10027,10239,10256,10227,10244,10242,59,62,93,71,71,116,56,-9999,-9999,-9999,-9999,91,92,82,74,85,98,97,70,73,84,68,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,-1,2,,-9999,-9999,-1,-1,SSE,6,N,5,ESE,31,NNE,26,17,ESE,45,ESE,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
128,K8209,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,51,59,98,64,68,121,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,-1,2,,-9999,-9999,-1,-1,C,0,ENE,8,NW,6,E,7,5,NNW,36,NNW,65,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
129,K8282,2022-02-10,10057,10074,10047,10062,10060,10081,10045,10246,10263,10234,10250,10248,56,65,99,71,73,112,55,-9999,-9999,-9999,-9999,90,96,88,76,88,99,99,72,75,86,69,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,-1,2,,-9999,-9999,-1,-1,C,0,C,0,SE,15,SE,19,8,ESE,29,SE,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
130,K8283,2022-02-10,10161,10178,10151,10169,10165,10187,10148,10237,10254,10226,10245,10240,64,66,103,75,77,110,62,-9999,-9999,-9999,-9999,91,90,74,70,81,95,92,59,68,78,55,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,C,1,SSW,4,NE,16,E,19,10,NE,29,SE,46,-9999,-29,-13,41,-19,-5,-9999,-9999,20,39,91,27,44,20,39,121,31,53,1720,2359,501,1101,1420,19,18,91,27,39,-9999,-9999
131,K8320,2022-02-10,10182,10196,10181,10192,10188,10210,10176,10236,10250,10234,10246,10242,69,71,81,75,74,84,65,-9999,-9999,-9999,-9999,92,87,81,82,86,93,86,75,79,83,74,0,0,0,0,0,0,0,0,0,0,,,,,189,483,317,163,4,-1,4,,-9999,-9999,-1,-1,N,58,N,112,NNE,86,N,104,90,N,118,N,130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
132,K8321,2022-02-10,10228,10246,10224,10239,10234,10257,10220,10235,10253,10231,10246,10241,70,78,100,75,81,109,69,-9999,-9999,-9999,-9999,89,82,81,77,82,89,78,66,74,77,63,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,NNW,7,N,13,NE,22,NE,23,16,ENE,35,NE,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
133,K8322,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,69,71,91,74,76,93,68,-9999,-9999,-9999,-9999,93,84,76,75,82,94,83,66,73,79,63,0,0,0,0,0,0,0,0,0,0,,,,,70,200,200,120,1,-1,1,,-9999,-9999,-1,-1,C,0,NE,32,ENE,29,NNE,41,26,NE,53,NE,87,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74,75,146,84,95,75,75,147,87,96,1701,0,541,1101,836,74,69,139,84,92,-9999,-9999
134,58453,2022-02-10,10244,10261,10236,10238,10245,10265,10230,10255,10272,10247,10249,10256,43,46,67,57,53,70,41,-9999,-9999,-9999,-9999,77,75,75,81,77,93,89,76,88,86,72,0,0,0,0,0,0,0,0,0,0,,,,,39,47,78,35,2,-1,2,"(60,10,50,)10,.",16,16,-1,-1,WNW,10,SW,4,NE,15,NE,6,9,ENE,28,ENE,53,0,47,51,107,59,66,-9999,-9999,55,52,90,70,67,59,55,79,74,67,61,58,71,75,66,67,65,70,77,70,-9999,-9999
135,58543,2022-02-10,10040,10053,10022,10023,10034,10056,10013,10253,10266,10233,10235,10247,42,41,69,56,52,72,38,-9999,-9999,-9999,-9999,77,77,77,73,76,93,94,77,80,86,73,0,0,0,0,0,0,0,0,0,0,,,,,300,231,300,300,3,0,3,"(10,50,60,)60 0800 0801'1947 2000,50 0802   1051'1118 1120,.",5,5,-1,-1,NE,15,NE,14,NE,16,NNE,20,16,NNE,40,NNE,78,0,42,54,107,51,64,-9999,-9999,51,49,99,66,66,59,55,85,76,69,69,66,73,81,72,65,62,76,81,71,-9999,-9999
136,58553,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-9999,"//,.",-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
137,K4026,2022-02-10,-9999,-9999,10240,10239,10240,10268,10234,-9999,-9999,10250,10249,10250,-9999,-9999,66,54,60,68,47,-9999,-9999,-9999,-9999,-9999,-9999,77,79,78,-9999,-9999,79,88,84,74,-9999,-9999,0,0,0,-9999,-9999,0,0,0,/,/,,,-9999,-9999,49,31,-1,-1,-1,,-9999,-9999,-1,-1,/,-9999,/,-9999,NE,16,SE,11,14,ENE,28,ENE,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,96,73,84,-9999,-9999,96,74,85,-9999,-9999,501,1101,801,-9999,-9999,96,73,84,-9999,-9999
138,K8216,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,63,64,106,79,78,113,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,C,2,NE,22,ESE,24,ESE,28,19,ENE,31,ENE,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
139,K8217,2022-02-10,10227,10245,10216,10235,10231,10254,10214,10243,10261,10232,10251,10247,67,71,114,78,82,116,64,-9999,-9999,-9999,-9999,98,89,79,75,85,100,88,59,71,80,57,0,0,0,0,0,0,0,0,0,0,,,,,63,183,200,85,1,-1,1,,-9999,-9999,-1,-1,WNW,9,E,4,NE,18,E,20,13,NE,30,NE,51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
140,K8403,2022-02-10,10219,10236,10210,10229,10224,10247,10208,10234,10251,10225,10244,10238,72,78,105,78,83,111,71,-9999,-9999,-9999,-9999,93,80,86,81,85,92,76,68,77,78,62,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,S,7,NNW,30,E,18,NNE,11,16,N,33,N,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
141,58559,2022-02-10,10112,10129,10099,10110,10113,10135,10098,10247,10265,10234,10245,10248,52,54,90,65,65,101,49,-9999,-9999,-9999,-9999,81,76,70,74,75,92,85,61,77,79,54,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,200,167,200,192,2,-1,2,"(50,10,).",13,13,-1,-1,NNW,49,NW,30,NNW,53,SSE,19,38,NNW,52,NNW,70,8,53,63,121,66,76,225,47,64,60,109,79,78,71,65,98,86,80,75,71,88,88,81,80,77,85,90,83,44,84
142,58560,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-9999,"//,.",-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
143,58658,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,-9999,0,0,0,0,-,,,,-9999,-9999,-9999,-9999,-1,-1,-9999,,-9999,-9999,-1,-1,,-9999,,-9999,,-9999,,-9999,-9999,,-9999,,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1
144,K8112,2022-02-10,10227,10246,10222,10241,10234,10256,10220,10234,10253,10229,10248,10241,69,75,95,73,78,100,65,-9999,-9999,-9999,-9999,95,83,80,78,84,96,80,67,76,80,63,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,NW,6,NNE,8,ESE,20,ENE,30,16,ESE,30,ESE,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
145,K8113,2022-02-10,10228,10248,10224,10243,10236,10258,10222,10233,10253,10229,10248,10241,71,75,111,73,82,117,68,-9999,-9999,-9999,-9999,101,99,87,84,93,100,96,66,82,86,63,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,N,12,NE,9,ENE,15,NE,20,14,ENE,28,ENE,48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
146,K8221,2022-02-10,9770,9786,9762,9778,9774,9794,9760,10254,10271,10244,10262,10258,43,41,68,51,51,71,40,-9999,-9999,-9999,-9999,83,82,80,75,80,100,100,81,85,92,79,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,4,-1,4,,-9999,-9999,-1,-1,NNW,9,ENE,27,ENE,23,E,12,18,NE,38,ENE,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
147,K8222,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-2,43,1,11,44,-7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,50,-1,50,,-9999,-9999,-1,-1,W,25,C,0,W,18,E,41,21,W,47,W,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
148,K8406,2022-02-10,10223,10240,10217,10235,10229,10251,10214,10230,10247,10224,10242,10236,70,80,97,76,81,114,69,-9999,-9999,-9999,-9999,93,82,81,77,83,93,76,67,74,78,63,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,WNW,11,N,11,E,35,ENE,20,19,ENE,40,ENE,71,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
149,58452,2022-02-10,10244,10262,10239,10242,10247,10264,10233,10252,10270,10247,10250,10255,44,45,65,37,48,69,37,-9999,-9999,-9999,-9999,75,77,71,74,74,90,92,73,93,87,70,0,0,0,0,0,0,0,0,0,0,,,,,36,18,53,12,1,1,2,"(60,10,50,)50 0800   0834'0852 0856'0930 0936'1004   1010'1029   1039,10,60 0836 0851'0938 0945,.",10,10,-1,-1,NW,10,NNW,10,WNW,10,SW,11,10,NE,20,NE,37,0,48,52,98,35,58,-9999,-9999,54,53,82,55,61,60,57,72,67,64,66,63,69,74,68,70,68,70,76,71,-9999,-9999
150,58547,2022-02-10,10171,10183,10149,10145,10162,10186,10135,10253,10265,10231,10227,10244,51,49,82,74,64,89,49,-9999,-9999,-9999,-9999,88,87,83,78,84,100,100,76,76,88,72,0,0,0,0,0,0,0,0,0,0,,,,,34,26,148,200,1,0,1,"(50,10,)10,60 1937   1951,.",6,6,-1,-1,SSE,7,ENE,8,E,19,NE,36,18,NE,38,NE,70,0,55,58,120,63,74,-9999,-9999,59,59,110,73,75,65,63,94,82,76,69,67,84,86,76,73,72,79,87,78,-9999,-9999
151,K8101,2022-02-10,10210,10229,10205,10223,10217,10239,10202,10237,10256,10232,10250,10244,69,72,94,72,77,94,68,-9999,-9999,-9999,-9999,91,81,79,76,82,92,80,67,75,78,62,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,NW,5,N,15,NE,23,ENE,33,19,E,35,E,66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
152,K8218,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,72,75,108,77,83,117,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,NNW,18,NNE,33,E,14,E,14,20,NNE,32,NNE,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
153,K8303,2022-02-10,10228,10246,10225,10240,10235,10258,10221,10233,10251,10230,10245,10240,69,74,95,75,78,98,69,-9999,-9999,-9999,-9999,93,88,81,77,85,94,86,68,74,80,65,0,0,0,0,0,0,0,0,0,0,,,,,70,177,193,94,1,-1,1,,-9999,-9999,-1,-1,NNW,13,NNE,32,ENE,29,NE,51,31,NE,57,NE,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
154,K8304,2022-02-10,10086,10103,10085,10098,10093,10115,10079,10183,10200,-9999,10195,10193,60,66,101,68,74,111,58,-9999,-9999,-9999,-9999,89,86,86,79,85,95,88,70,80,83,65,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,-1,2,,-9999,-9999,-1,-1,N,42,NNE,83,NE,43,NNE,93,65,NNE,103,NNE,126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
155,K8423,2022-02-10,10225,10242,10220,10239,10232,10254,10217,10232,10249,10227,10246,10238,70,75,101,77,81,104,68,-9999,-9999,-9999,-9999,98,90,83,79,88,98,87,67,75,82,64,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,5,-1,5,,-9999,-9999,-1,-1,C,2,SSW,3,ESE,23,SE,3,8,SE,23,NNE,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
156,58663,2022-02-10,10117,10136,10118,10130,10125,10148,10112,10238,10257,10238,10251,10246,65,67,79,70,70,89,63,-9999,-9999,-9999,-9999,92,80,79,73,81,95,82,74,73,81,69,0,0,0,0,0,0,0,0,0,0,,,,,116,440,347,219,1,-1,1,,-9999,-9999,-1,-1,NNW,68,NNW,107,NNE,85,N,84,86,N,125,N,154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
157,K8207,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22,22,54,21,30,59,14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,5,-1,5,,-9999,-9999,-1,-1,W,19,WSW,18,W,17,ENE,9,16,W,28,W,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
158,K8274,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,57,60,87,68,68,91,55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,5,-1,5,,-9999,-9999,-1,-1,C,0,C,2,E,6,C,0,2,E,15,NE,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
159,K8275,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62,73,94,74,76,100,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,98,77,71,76,80,65,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,W,12,NE,20,SE,25,C,1,14,NNE,38,NNE,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
160,K8276,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66,71,100,83,80,104,63,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,96,89,70,72,82,66,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,WNW,15,N,32,N,23,NNE,41,28,N,50,NNE,60,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
161,K8317,2022-02-10,10198,10216,10192,10209,10204,10227,10189,10230,10248,10224,10241,10236,66,75,102,74,79,114,66,-9999,-9999,-9999,-9999,94,74,82,73,81,96,71,66,71,76,58,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,SSE,9,NNW,18,SE,16,ESE,13,14,N,40,NNW,74,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
162,K8318,2022-02-10,10226,10244,10219,10236,10231,10254,10216,10233,10251,10226,10243,10238,68,76,100,76,80,107,67,-9999,-9999,-9999,-9999,99,79,80,77,84,100,76,65,74,79,61,0,0,0,0,0,0,0,0,0,0,,,,,78,209,161,63,1,-1,1,,-9999,-9999,-1,-1,W,6,NNE,26,ESE,24,ENE,27,21,NNE,34,ENE,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
163,K8416,2022-02-10,10023,10039,10021,10035,10030,10051,10017,10254,10270,10250,10266,10260,56,58,91,60,66,95,54,-9999,-9999,-9999,-9999,87,83,77,74,80,96,90,67,79,83,66,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,6,-1,6,,-9999,-9999,-1,-1,NNW,8,NNE,14,NNW,5,NNE,18,11,NNE,21,NNE,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
164,K8121,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56,60,85,59,65,116,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,C,1,NNE,37,ESE,28,ENE,76,36,NE,77,ENE,123,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
165,K8273,2022-02-10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,34,33,62,41,42,72,30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,9,-1,9,,-9999,-9999,-1,-1,WNW,14,WNW,22,S,10,E,6,13,WNW,29,WSW,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
166,K8307,2022-02-10,10227,10245,10223,10240,10234,10256,10219,10233,10251,10229,10246,10240,68,76,104,74,80,106,68,-9999,-9999,-9999,-9999,93,85,85,78,85,95,82,68,76,80,63,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,-1,-1,-1,,-9999,-9999,-1,-1,N,6,NNE,19,E,29,NE,39,23,E,40,ENE,69,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
167,K8308,2022-02-10,10227,10245,10223,10239,10234,10256,10219,10233,10251,10229,10245,10240,69,77,98,75,80,102,68,-9999,-9999,-9999,-9999,94,87,81,80,86,95,83,67,77,80,67,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,1,-1,1,,-9999,-9999,-1,-1,C,2,NNE,30,E,25,NE,40,24,NNE,50,NE,78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
168,K8445,2022-02-10,10171,10188,10170,10185,10178,10201,10166,10255,10272,10253,10268,10262,65,71,97,73,76,111,63,-9999,-9999,-9999,-9999,96,90,85,83,88,99,89,71,81,85,69,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,-1,2,,-9999,-9999,-1,-1,N,51,NNE,91,NE,34,NE,63,60,NNE,95,NNE,120,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
