,StationName,county,Town,lat,lon,IIiii,tTime,dFy,fFy,T,Tx,Tn,VV,RR
54,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-06 23:00:00,79,110,67,67,65,29926,0
55,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-06 23:00:00,41,130,70,70,69,30000,0
56,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-07 00:00:00,117,28,42,44,42,11507,0
57,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-07 00:00:00,11,15,44,49,44,11365,0
58,仙居,仙居县,安洲街道,28.86722,120.71889,58652,2022-02-07 00:00:00,316,12,45,47,45,7638,3
59,括苍山,临海市,括苍镇,28.80972,120.9222,58653,2022-02-07 00:00:00,72,43,-35,-34,-39,-9999,0
60,临海,临海市,大洋街道,28.87389,121.19278,58660,2022-02-07 00:00:00,25,23,53,57,53,10049,2
61,椒江口,椒江区,海门街道,28.6625,121.5108,58661,2022-02-07 00:00:00,9,41,62,65,62,25341,0
62,牛山,三门县,浦坝港镇,29.0131,121.7056,58662,2022-02-07 00:00:00,339,73,52,57,52,14485,1
63,东矶,临海市,上盘镇,28.71889,121.9156,58663,2022-02-07 00:00:00,10,104,68,71,67,25146,0
64,温岭,温岭市,太平街道,28.37278,121.35889,58664,2022-02-07 00:00:00,353,32,57,61,57,17107,2
65,洪家,椒江区,洪家街道,28.61806,121.41639,58665,2022-02-07 00:00:00,304,34,64,67,64,27753,0
66,大陈,椒江区,大陈镇,28.446,121.90333,58666,2022-02-07 00:00:00,35,111,80,83,79,30000,0
67,坎门,玉环市,坎门街道,28.0775,121.27083,58667,2022-02-07 00:00:00,345,76,54,58,54,16751,1
68,披山,玉环市,鸡山乡,28.09583,121.52,58668,2022-02-07 00:00:00,57,109,60,67,60,-9999,0
69,石塘,温岭市,石塘镇,28.260317,121.616252,58669,2022-02-07 00:00:00,23,110,65,70,65,19081,0
70,天台,天台县,始丰街道,29.15278,120.97056,58559,2022-02-07 01:00:00,121,32,39,42,39,10050,2
71,三门,三门县,海游街道,29.12278,121.38333,58568,2022-02-07 01:00:00,17,15,42,44,42,7471,4
