,Cnty,Province,Town,Station_levl,Station_Name,City,Station_Id_C,Lat,Lon,Alti,PRE
61,松江区,上海市,,14,九里亭杜巷,上海市,A5767,31.1594,121.3208,999999.0,0.0
62,磐安县,浙江省,盘峰乡,14,盘峰维新,金华市,K6100,28.9361,120.6161,366.0,0.0
63,海曙区,浙江省,高桥镇,14,高桥,宁波市,K2411,29.9058,121.4622,1.0,2.7
64,松阳县,浙江省,大东坝镇,16,牛角圩村,丽水市,K9313,28.3508,119.5033,204.4,3.4
65,磐安县,浙江省,双溪乡,14,双溪上横山,金华市,K6319,29.1553,120.5347,562.0,0.1
66,淳安县,浙江省,姜家镇,14,银峰村,杭州市,KA183,29.5394,118.6475,127.9,0.0
67,高淳区,江苏省,,14,砖墙镇,南京市,M6768,31.2708,118.8233,999999.0,0.0
68,仪征市,江苏省,,14,仪征新城,扬州市,M5461,32.3064,119.2325,999999.0,0.0
69,仪征市,江苏省,,14,仪征月塘,扬州市,M5463,32.4283,119.1331,999999.0,0.0
70,怀宁县,安徽省,,14,合安上行K122,安庆市,I9976,30.8033,116.8856,999999.0,0.0
71,瑞昌市,江西省,,14,瑞昌南义幸福水库,九江市,J1102,29.4481,115.3256,999999.0,0.0
72,安溪县,福建省,,14,白濑乡,泉州市,F5420,25.2781,118.0281,999999.0,0.0
73,赣县,江西省,,14,赣县韩坊上岭,赣州市,J9724,25.6028,115.2106,344.0,0.0
74,德兴市,江西省,,14,新岗山异VC,上饶市,J2292,29.1075,117.9497,999999.0,7.5
75,蕲春县,湖北省,,14,蕲春赤东,黄冈市,Q9513,30.1558,115.455,999999.0,0.0
76,余杭区,浙江省,鸬鸟镇,14,前庄村,杭州市,KA205,30.4697,119.7486,89.0,0.0
77,淳安县,浙江省,屏门乡,14,金陵村,杭州市,K1566,29.9719,118.9486,977.0,0.0
78,金东区,浙江省,塘雅镇,14,塘雅探测基地,金华市,K6323,29.1472,119.7661,50.0,10.8
79,萧山区,浙江省,盈丰街道,14,潮韵社区,杭州市,KA265,30.2317,120.2361,15.0,0.1
80,椒江区,浙江省,葭沚街道,14,高铁台州站,台州市,K8136,28.6575,121.3764,5.0,3.3
81,新昌县,浙江省,沃洲镇,14,西山,绍兴市,K4803,29.4903,120.9867,185.0,0.0
82,衢江区,浙江省,岭洋乡,14,洋口村,衢州市,K7452,28.6119,118.8664,242.0,9.0
83,瓯海区,浙江省,泽雅镇,14,泽雅下良,温州市,K3507,27.9928,120.4178,458.4,0.0
84,衢江区,浙江省,云溪乡,14,勃垅村,衢州市,K7448,29.0447,118.9014,70.0,11.2
85,龙游县,浙江省,塔石镇,14,泽随村,衢州市,K7328,29.1319,119.0958,70.0,34.1
86,淳安县,浙江省,枫树岭镇,14,上江村,杭州市,K1393,29.3842,118.6656,105.6,14.5
87,泾县,安徽省,,14,泾县蔡村,宣城市,I7954,30.7258,118.5619,70.0,0.0
88,灵璧县,安徽省,,14,灵璧黄湾,宿州市,I1668,33.4278,117.4494,999999.0,0.0
89,靖安县,江西省,,14,靖安罗湾,宜春市,J5131,28.9683,115.1031,999999.0,0.0
90,灵璧县,安徽省,,12,灵璧,宿州市,58125,33.5819,117.5156,24.4,0.0
91,德兴市,江西省,,14,泗洲中洲,上饶市,J2311,29.0328,117.6111,999999.0,5.6
92,德兴市,江西省,,14,新屋,上饶市,J2411,28.74,117.4719,999999.0,0.1
93,固始县,河南省,,16,张老埠,信阳市,O2610,32.0392,115.7778,61.1,0.0
94,嵊泗县,浙江省,菜园镇,14,菜园三小,舟山市,K9752,30.7344,122.4633,10.0,0.0
95,磐安县,浙江省,安文街道,14,安文墨林,金华市,K6320,29.0583,120.5464,640.0,0.4
96,上城区,浙江省,采荷街道,14,钱杭社区,杭州市,K1451,30.2553,120.1986,15.0,0.0
97,沭阳县,江苏省,,14,钱集镇张圩社区,宿迁市,M6227,33.9228,119.005,999999.0,0.0
98,崇明区,上海市,,14,崇明横沙新民,上海市,A5369,31.3289,121.8389,999999.0,0.3
99,泾县,安徽省,,14,泾县红旗水库,宣城市,I7925,30.6042,118.4125,235.0,0.4
